id,ingredient_name,group_name,water_g,energy_kcal,protein_g,fat_g,ash_g,cho_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,iodine_mg,selenium_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_ug,choline_mg,vitamin_b12_ug,vitamin_a_iu,vitamin_e_mg,vitamin_d_iu,pufa_18_2_g,pufa_18_3_g,pufa_20_5_g,pufa_22_6_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g
36,Beef kidney,Organ Meat,77.9,447.9638,78.73303,13.9819,6.0181,1.3122172,0.0,58.82353,20.81448,76.92307692,1162.895928,1185.520362,823.5294118,8.687782805,1.92760181,0,0.63800905,1.615384615,12.85067873,36.33484163,17.9638009,3.009049774,0.443438914,0.0,0.124434389,6334.841629,0.995475113,203.6199095,1.321266968,0.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9683
37,Quinoa,Grain A,13.3,424.45215,16.262976,7.0011535,2.745098,65.974625,8.073818,54.20992,5.2710495,227.2202999,527.1049596,649.3656286,5.767012687,3.575547866,0.680507497,0,0.009803922,0.415224913,0.366782007,1.753171857,0.890426759,0.561707036,0.212226067,80.96885813,0.0,16.14763552,2.814302191,0.0,3.437139562,0.29988466,0.0,0.054209919,0.192618224,0.485582468,0.581314879,0.968858131,0.883506344,0.356401384,0.234140715,0.683967705,0.307958478,0.685121107,1.257208766,0.4066
38,"Tapioca, pearl dry",Grain A,11.0,402.2472,0.21348314,0.02247191,0.123595506,98.65169,1.011236,22.47191,1.775281,1.123595506,7.865168539,12.35955056,1.123595506,0.134831461,0.02247191,0,0.000898876,0.004494382,0.0,0.0,0.151685393,0.008988764,0.004494382,1.348314607,0.0,0.0,0.0,0.0,0.002247191,0.001123596,0.0,0.0,0.003370787,0.004494382,0.004494382,0.006741573,0.006741573,0.002247191,0.004494382,0.004494382,0.002247191,0.005617978,0.021348315,0.0053
39,Pumpkin,Vegetable A,91.6,309.5238,11.904762,1.1904762,9.523809,71.42857,5.952381,250.0,9.523809,142.8571429,523.8095238,4047.619048,11.9047619,3.80952381,1.511904762,0,0.003571429,0.595238095,1.30952381,7.142857143,3.547619048,0.726190476,0.19047619,97.61904762,0.0,101309.5238,12.61904762,0.0,0.023809524,0.035714286,0.0,0.0,0.142857143,0.345238095,0.369047619,0.547619048,0.642857143,0.130952381,0.035714286,0.380952381,0.5,0.416666667,0.642857143,0.2976
40,Carrots,Vegetable A,88.3,350.42734,7.948718,2.0512822,8.290598,57.94872,23.931623,282.05127,2.5641026,102.5641026,299.1452991,2735.042735,589.7435897,2.051282051,0.384615385,0,0.000854701,0.564102564,0.495726496,8.401709402,2.333333333,1.179487179,0.162393162,75.21367521,0.0,142735.0427,5.641025641,0.0,0.854700855,0.017094017,0.0,0.0,0.102564103,1.632478632,0.658119658,0.871794872,0.863247863,0.170940171,0.709401709,0.521367521,0.367521368,0.58974359,0.777777778,0.1987
41,Green peas,Vegetable B,78.9,383.88626,25.687204,1.8957345,4.123223,41.232227,27.014217,118.48341,6.9668245,156.3981043,511.8483412,1156.398104,23.69668246,5.876777251,0.834123223,0,0.008530806,1.260663507,0.625592417,9.90521327,0.492890995,0.800947867,0.308056872,134.5971564,0.0,3625.592417,0.616113744,0.0,0.720379147,0.165876777,0.0,0.0,0.17535545,0.962085308,0.924170616,1.530805687,1.502369668,0.388625592,0.151658768,0.947867299,0.54028436,1.113744076,2.028436019,0.6422
42,Green beans,Vegetable B,90.3,319.58762,18.86598,2.2680411,6.804124,44.02062,27.835052,381.4433,10.618557,257.7319588,391.7525773,2175.257732,61.8556701,2.474226804,0.711340206,0,0.006185567,0.845360825,1.072164948,7.567010309,2.319587629,1.453608247,0.340206186,157.7319588,0.0,7113.402062,4.226804124,0.0,0.453608247,0.711340206,0.0,0.0,0.195876289,0.81443299,0.680412371,1.154639175,0.907216495,0.226804124,0.18556701,0.690721649,0.432989691,0.927835052,0.75257732,0.4716
43,Celery,Vegetable B,95.4,304.34784,15.0,3.6956522,16.304348,29.782608,34.782608,869.56525,4.347826,239.1304348,521.7391304,5652.173913,1739.130435,2.826086957,0.760869565,0,0.008695652,0.456521739,1.239130435,6.956521739,5.347826087,1.608695652,0.782608696,132.6086957,0.0,9760.869565,5.869565217,0.0,1.717391304,0.0,0.0,0.0,0.195652174,0.434782609,0.456521739,0.695652174,0.586956522,0.108695652,0.086956522,0.434782609,0.195652174,0.586956522,0.434782609,0.375
44,Sunflower oil,Oil,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,0.0,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Flaxseed oil,Oil,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,14.3,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Avocado oil,Oil,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Strawberry,Fruit,91.0,355.55554,7.4444447,3.3333333,4.4444447,63.11111,22.222221,177.77777,4.5555553,144.4444444,266.6666667,1700.0,11.11111111,1.555555556,0.533333333,0,0.004444444,0.266666667,0.244444444,4.288888889,1.388888889,0.522222222,0.079681275,63.33333333,0.0,133.3333333,3.222222222,0.0,1.0,0.722222222,0.0,0.0,0.088888889,0.222222222,0.177777778,0.377777778,0.288888889,0.022222222,0.066666667,0.211111111,0.244444444,0.211111111,0.311111111,0.1861
49,Cranberries,Fruit,87.3,362.2047,3.6220472,1.023622,0.9448819,66.14173,28.346457,62.992126,1.8110236,47.24409449,86.61417323,629.9212598,15.7480315,0.708661417,0.440944882,0,0.000787402,0.094488189,0.157480315,0.795275591,2.322834646,0.448818898,0.260606061,43.30708661,0.0,496.0629921,10.39370079,0.0,0.25984252,0.173228346,0.0,0.0,0.023622047,0.220472441,0.25984252,0.417322835,0.307086614,0.023622047,0.023622047,0.283464567,0.251968504,0.354330709,0.440944882,0.0906
50,Banana,Fruit,74.9,354.58167,4.3426294,1.314741,3.2669322,80.47809,10.358565,19.920319,1.0358566,107.5697211,87.64940239,1426.294821,3.984063745,0.597609562,0.310756972,0,0.003984064,0.123505976,0.290836653,2.64940239,1.330677291,1.462151394,0.128571429,39.0438247,0.0,0.0,254.9800797,0.398406375,0.183266932,0.107569721,0.0,0.0,0.035856574,0.111553785,0.111553785,0.270916335,0.199203187,0.03187251,0.035856574,0.195219124,0.035856574,0.187250996,0.195219124,0.1086
51,Mangos,Fruit,83.5,363.63635,4.969697,2.3030303,2.1818182,81.21212,9.69697,66.666664,0.969697,60.60606061,84.84848485,1018.181818,6.060606061,0.545454545,0.672727273,0,0.003636364,0.16969697,0.23030303,4.054545455,1.193939394,0.721212121,0.147887324,46.06060606,0.0,6545.454545,5.454545455,0.0,0.115151515,0.309090909,0.0,0.0,0.078787879,0.187878788,0.175757576,0.303030303,0.4,0.048484848,0.0,0.163636364,0.096969697,0.254545455,0.187878788,0.1242
52,Pineapple,Fruit,86.0,357.14285,3.857143,0.85714287,1.5714285,83.57143,10.0,92.85714,2.0714285,85.71428571,57.14285714,778.5714286,7.142857143,0.857142857,0.785714286,0,0.000714286,0.564285714,0.228571429,3.571428571,1.521428571,0.8,0.128571,39.28571429,0.0,414.2857143,0.142857143,0.0,0.164285714,0.121428571,0.0,0.0,0.035714286,0.135714286,0.135714286,0.171428571,0.185714286,0.085714286,0.1,0.15,0.135714286,0.171428571,0.135714286,0.0964
15,Talipia (fish),Meat Group A,78.1,438.35617,91.78082,7.762557,4.2465754,0.0,0.0,45.6621,2.5570776,123.2876712,776.2557078,1378.995434,237.4429224,1.506849315,0.342465753,0,0.191780822,0.365296804,0.479452055,36.52968037,4.703196347,2.789954338,0.01826484,431.9634703,0.018949772,534.2465753,1.826484018,566.2100457,0.721461187,0.150684932,0.02283105,0.392694064,1.00913242,4.885844749,4.356164384,7.123287671,8.03652968,2.634703196,0.726027397,3.858447489,3.388127854,5.02283105,5.890410959,2.2945
21,Shrimp,Meat Group A,83.0,417.64706,80.0,5.9411764,10.941176,5.352941,0.0,317.64706,1.2352941,129.4117647,1435.294118,664.7058824,3329.411765,5.705882353,1.070588235,0,0.174117647,0.117647059,0.088235294,10.47058824,1.823529412,0.947058824,0.111764706,475.8823529,0.006529412,1058.823529,7.764705882,11.76470588,0.558823529,0.035294118,0.4,0.411764706,0.911764706,3.176470588,3.688235294,6.823529412,7.647058824,2.335294118,0.952941176,3.488235294,3.029411765,3.747058824,7.882352941,2.0
55,Kale,Vegetable B,89.6,336.5384615,28.07692308,14.32692308,14.80769231,3.076923077,39.42307692,2442.307692,15.38461538,317.3076923,528.8461538,3346.153846,509.6153846,3.75,0.509615385,0,0.008653846,1.086538462,3.336538462,11.34615385,3.557692308,1.413461538,0.596153846,4.807692308,0.0,46250.0,6.346153846,0.0,2.798076923,3.634615385,0.0,0.0,0.336538462,1.259615385,1.682692308,1.971153846,1.682692308,0.278846154,0.365384615,1.442307692,0.990384615,1.528846154,1.567307692,0.7019
56,Broccoli,Vegetable B,89.3,317.7570093,26.35514019,3.457943925,8.130841121,37.75700935,24.29906542,439.2523364,6.822429907,196.2616822,616.8224299,2953.271028,308.411215,3.831775701,0.457943925,0,0.023364486,0.663551402,1.093457944,5.971962617,5.355140187,1.635514019,0.588785047,174.7663551,0.0,5822.429907,7.289719626,0.0,0.457943925,0.588785047,0.0,0.0,0.308411215,0.822429907,0.738317757,1.205607477,1.261682243,0.355140187,0.261682243,1.093457944,0.46728972,1.168224299,1.785046729,0.6589
57,Lentils,Vegetable B,7.82,388.3705793,25.92753309,2.354089824,3.254502061,56.73681927,11.71620742,52.07203298,8.016923411,64.0052072,318.941202,724.6691256,7.593838143,3.905402473,1.410284227,0,0.0,0.55326535,0.114992406,1.627251031,0.377522239,0.43718811,0.22130614,0.0,0.0,62.92037318,0.0,0.0,0.961162942,0.271208505,0.0,0.0,0.241917987,0.970926448,1.171620742,1.963549577,1.887611195,0.229984812,0.354740725,1.334345845,0.723584292,1.345194185,2.093729659,0.6482
58,Chickpeas,Vegetable B,7.68,409.4454073,22.20537262,6.542461005,3.087088388,55.02599653,13.21490468,61.74176776,4.668544194,85.57192374,272.9636049,777.729636,25.9965338,2.989601386,0.710571924,0,0.0,0.516681109,0.229636049,1.668110919,1.722270364,0.579506066,0.603336222,107.5606586,0.0,72.57365685,0.888214905,0.0,2.848786828,0.110485269,0.0,0.0,0.216637782,0.829722704,0.955372617,1.581455806,1.494800693,0.292461005,0.302209705,1.191507799,0.554592721,0.936958406,2.101386482,0.5551
59,Brussels sprouts,Vegetable B,86.0,307.1428571,24.14285714,2.142857143,9.785714286,36.78571429,27.14285714,300.0,10.0,164.2857143,492.8571429,2778.571429,178.5714286,3.0,0.5,0,0.011428571,0.992857143,0.642857143,5.321428571,2.207142857,1.564285714,0.435714286,136.4285714,0.0,5385.714286,6.285714286,0.0,0.321428571,0.707142857,0.0,0.0,0.264285714,0.857142857,0.942857143,1.085714286,1.1,0.228571429,0.157142857,0.7,1.107142857,1.45,0.219887348,0.6036
60,Olive oil,Oil,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,9.71,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Lamb liver,Organ Meat (Liver),70.8,465.7534247,70.89041096,16.84931507,4.657534247,7.602739726,0.0,13.69863014,15.75342466,61.64383562,1304.794521,976.0273973,202.0547945,11.64383562,39.04109589,0,0.493,4.143835616,14.41780822,46.91780822,19.07534247,0.746575342,1.404,0.0,0.202054795,176027.3973,2.945205479,0.0,0.698630137,0.503424658,0.441780822,0.558219178,0.784246575,3.380136986,3.174657534,5.479452055,6.198630137,2.311643836,0.928082192,2.79109589,2.455479452,3.595890411,4.760273973,1.7723
62,Lamb kidney,Organ Meat,81.0,442.1052632,80.0,13.36842105,6.263157895,0.157894737,0.0,42.10526316,34.73684211,84.21052632,1289.473684,1215.789474,884.2105263,9.526315789,1.9,0,0.492631579,2.173684211,6.736842105,44.36842105,16.89473684,0.910526316,0.421,0.0,0.265263158,1073.684211,2.210526316,26.31578947,0.873684211,0.263157895,0.489473684,0.189473684,0.884210526,3.821052632,3.584210526,6.210526316,7.0,2.610526316,1.047368421,3.152631579,2.773684211,4.078947368,5.368421053,2.0
63,Lamb heart,Organ Meat,76.7,523.6051502,70.81545064,24.3776824,3.991416309,0.901287554,0.0,25.75107296,19.74248927,72.96137339,751.0729614,1356.223176,381.9742489,8.025751073,1.703862661,0,0.137339056,1.587982833,4.248927039,26.35193133,11.28755365,1.673819742,0.008583691,0.0,0.043776824,0.0,0.0,0.0,1.030042918,0.557939914,0.17167382,0.128755365,0.763948498,3.334763948,3.064377682,6.008583691,5.321888412,1.549356223,0.592274678,3.055793991,2.201716738,3.515021459,4.635193133,1.7704
22,Beef 80% Lean,Meat Group B,61.9,666.6667,45.144356,52.49344,2.2047243,0.0,0.0,47.244095,5.0918636,44.61942257,414.6981627,708.6614173,173.2283465,10.97112861,0.160104987,0,0.039370079,0.112860892,0.396325459,11.1023622,1.307086614,0.847769029,0.018372703,148.0314961,0.005616798,36.74540682,0.446194226,7.874015748,1.102362205,0.170603675,0.0,0.0,0.228346457,1.745406824,1.992125984,3.517060367,3.727034121,1.160104987,0.464566929,1.758530184,1.385826772,2.215223097,2.939632546,1.1286
65,"Pumkin seeds, dried",Fiber,5.23,589.8491084,31.86662446,51.70412578,5.043790229,4.95937533,6.331117442,48.53856706,9.30674264,624.6702543,1297.879076,853.6456685,7.386303683,8.241004537,1.413949562,0,0.009918751,0.288065844,0.161443495,5.265379339,0.79138968,0.150891632,0.061200802,66.47673314,0.0,16.88297985,2.300306004,0.0,21.84235518,0.126622349,0.0,0.0,0.607787274,1.053075868,1.350638388,2.553550702,1.308430938,0.636277303,0.350321832,1.825472196,1.150153002,1.66719426,5.645246386,
66,Sunflower seed kernels,Fiber,4.73,612.9946468,21.83268605,54.05689094,3.169938071,11.96599139,9.026975963,81.87257269,5.510653931,341.1357195,692.7679227,677.0231972,9.44683531,5.248241839,1.889367062,0,0.055631363,1.553479584,0.372625171,8.754067387,1.186102656,1.406528813,0.238270179,57.83562507,0.0,52.48241839,36.94762255,0.0,24.14191246,0.062978902,0.014695077,0.0,0.365277632,0.974073685,1.196599139,1.742416291,0.983520521,0.518526294,0.473391414,1.22808859,0.699065813,1.385535845,2.519156083,
67,Chia seeds,Fiber,5.8,515.9235669,17.51592357,32.59023355,5.095541401,8.174097665,36.51804671,669.85138,8.195329087,355.626327,912.9511677,432.059448,16.985138,4.861995754,0.98089172,0,0.058598726,0.658174098,0.180467091,9.373673036,0.0,0.0,0.052016985,0.0,0.0,57.32484076,0.530785563,0.0,6.199575372,18.89596603,0.0,0.0,0.462845011,0.752653928,0.850318471,1.454352442,1.029723992,0.624203822,0.432059448,1.082802548,0.597664544,1.008492569,2.271762208,
68,"Sweet potatoes,  no skin",Grain A,77.3,378.8546256,6.916299559,0.220264317,4.36123348,75.33039648,13.21585903,132.1585903,2.68722467,110.1321586,207.0484581,1484.581498,242.2907489,1.321585903,0.665198238,0,0.002643172,0.343612335,0.268722467,2.453744493,3.524229075,0.920704846,0.04845815,54.18502203,0.0,62555.06608,1.145374449,0.0,0.057268722,0.004405286,0.0,0.0,0.136563877,0.365638767,0.242290749,0.405286344,0.290748899,0.127753304,0.0969163,0.392070485,0.149779736,0.378854626,0.242290749,
69,"Potatoes, with skin",Grain A,83.3,347.3053892,15.38922156,0.598802395,9.640718563,59.28143713,14.97005988,179.6407186,19.4011976,137.7245509,227.5449102,2473.053892,59.88023952,2.095808383,2.532934132,0,0.001796407,0.125748503,0.22754491,6.167664671,1.808383234,1.431137725,0.101796407,0.0,0.0,0.0,0.0,0.0,0.191616766,0.05988024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,Whitefish,Meat Group C,72.8,492.64706,70.22059,21.544117,4.117647,0.0,0.0,95.588234,1.3602941,121.3235294,992.6470588,1165.441176,187.5,3.639705882,0.264705882,0,0.046323529,0.514705882,0.441176471,11.02941176,2.757352941,1.102941176,0.055147059,238.9705882,0.003676471,441.1764706,0.735294118,1757.352941,1.0,0.672794118,1.165441176,3.459558824,0.786764706,3.077205882,3.235294118,5.698529412,6.433823529,2.077205882,0.753676471,2.738970588,2.367647059,3.613970588,4.191176471,1.7555
71,Summer Squash,Vegetable A,94.8,326.9230769,23.26923077,6.153846154,11.15384615,40.57692308,19.23076923,307.6923077,7.115384615,346.1538462,730.7692308,5019.230769,153.8461538,6.153846154,1.019230769,0,0.003846154,0.865384615,1.807692308,8.673076923,3.923076923,3.134615385,0.461538462,182.6923077,0.0,3846.153846,2.307692308,0.0,0.576923077,1.173076923,0.0,0.0,0.192307692,0.557692308,0.846153846,1.365384615,1.288461538,0.346153846,0.230769231,0.826923077,0.615384615,1.038461538,0.980769231,
72,Cauliflower ,Vegetable B,92.1,316.4556962,24.30379747,3.544303797,9.620253165,37.59493671,25.3164557,278.4810127,5.316455696,189.8734177,556.9620253,3784.810127,379.7468354,3.417721519,0.493670886,0,7.59e-05,0.632911392,0.759493671,6.417721519,8.443037975,2.329113924,0.721518987,560.7594937,0.0,0.0,0.0,0.0,0.202531646,0.189873418,0.0,0.0,0.253164557,0.962025316,0.898734177,1.341772152,2.746835443,0.253164557,0.253164557,0.82278481,0.64556962,1.582278481,1.088607595,
72,Okra,Vegetable B,89.6,317.3076923,18.55769231,1.826923077,8.269230769,40.86538462,30.76923077,788.4615385,5.961538462,548.0769231,586.5384615,2875.0,67.30769231,5.576923077,1.048076923,0,6.73e-06,1.923076923,0.576923077,9.615384615,2.355769231,2.067307692,0.576923077,118.2692308,0.0,6884.615385,2.596153846,0.0,0.25,0.009615385,0.0,0.0,0.163461538,0.625,0.663461538,1.009615385,0.778846154,0.201923077,0.182692308,0.625,0.836538462,0.875,0.807692308,
73,Raspberry,Fruit,85.8,366.1971831,8.450704225,4.577464789,3.23943662,38.02816901,45.77464789,176.056338,4.85915493,154.9295775,204.2253521,1063.380282,7.042253521,2.957746479,0.633802817,0,1.41e-05,0.225352113,0.267605634,4.211267606,2.316901408,0.387323944,0.147887324,86.61971831,0.0,232.3943662,6.126760563,0.0,1.753521127,0.887323944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74,Pork liver,Organ Meat (Liver),71.1,463.6678201,74.04844291,12.62975779,4.982698962,8.546712803,0.0,31.14186851,80.62283737,62.28373702,996.5397924,944.6366782,301.0380623,19.93079585,2.342560554,0,0.182352941,0.979238754,10.38062284,52.94117647,23.01038062,2.387543253,1.021,0.0,0.089965398,74740.48443,0.0,0.0,1.211072664,0.103806228,0.0,0.069204152,1.041522491,3.148788927,3.737024221,6.60899654,5.709342561,1.833910035,1.397923875,3.633217993,2.522491349,4.567474048,4.567474048,
75,Pork Heart,Organ Meat,76.2,495.7983193,72.68907563,18.31932773,3.529411765,5.588235294,0.0,21.00840336,19.66386555,79.83193277,710.0840336,1235.294118,235.2941176,11.76470588,1.714285714,0,0.043697479,2.575630252,4.957983193,28.40336134,10.58823529,1.638655462,0.016806723,0.0,0.033193277,105.0420168,2.647058824,0.0,3.235294118,0.336134454,0.0,0.0,0.836134454,3.180672269,3.491596639,6.554621849,6.008403361,1.857142857,1.298319328,3.201680672,2.483193277,3.840336134,4.87394958,
76,Pork Kidney,Organ Meat,80.1,502.5125628,82.91457286,16.33165829,5.879396985,0.0,0.0,45.22613065,24.57286432,85.42713568,1025.125628,1150.753769,608.040201,13.81909548,3.125628141,0,0.954773869,1.708542714,8.542713568,41.25628141,15.72864322,2.211055276,0.211055276,0.0,0.042663317,994.9748744,0.0,0.0,0.854271357,0.050251256,0.0,0.0,1.070351759,3.427135678,4.417085427,7.43718593,5.929648241,2.688442211,1.814070352,3.904522613,2.974874372,4.763819095,5.075376884,
77,Turkey liver,Organ Meat (Liver),75.5,522.449,74.694,22.449,5.388,0.0,0.0,81.633,36.49,97.959,1138.776,873.469,534.694,13.755,3.522,0,0.28,0.841,9.184,45.714,25.633,4.245,2.76,906.122,0.080408163,109795.918,0.98,204.082,4.612,0.159,0.037,0.184,0.812,2.694,2.118,5.347,5.633,1.882,0.865,2.743,2.359,2.624,4.367,
78,Duck liver,Organ Meat (Liver),71.8,482.27,66.312,16.454,4.681,12.518,0.0,39.007,108.156,85.106,953.901,815.603,496.454,10.887,21.135,0,0.237,1.993,3.163,23.05,21.915,2.695,2.617,0.0,0.191489362,141489.362,0.0,166.667,1.312,0.0,0.0,0.0,0.936,2.954,3.528,5.993,5.035,1.574,0.894,3.305,2.34,4.184,4.078,
79,Goose liver,Organ Meat (Liver),71.8,471.631,58.156,15.177,4.433,22.411,0.0,152.482,108.156,85.106,925.532,815.603,496.454,10.887,26.667,0,0.241,1.993,3.163,23.05,21.915,2.695,2.617,0.0,0.191489362,109929.078,0.0,156.028,0.638,0.035,0.0,0.0,0.816,2.582,3.085,5.248,4.397,1.376,0.78,2.89,2.043,3.652,3.546,
80,Flaxseeds,Fiber,6.96,573.947,19.669,45.357,3.998,1.72,29.342,274.076,6.159,421.324,690.026,873.818,32.244,4.665,1.311,0,0.027,1.763,0.173,3.31,1.059,0.508,0.094,84.587,0.0,0.0,0.333,0.0,6.341,24.506,0.0,0.0,0.319,0.823,0.963,1.333,0.926,0.398,0.365,1.029,0.53,1.15,2.064,
26,Sardine with bones,Meat Group C,59.6,514.8515,60.89109,28.217821,8.366337,0.0,0.0,945.54456,7.2277226,96.53465347,1212.871287,982.6732673,759.9009901,3.242574257,0.46039604,0,0.130445545,0.198019802,0.561881188,12.97029703,1.589108911,0.413366337,0.024752475,185.6435644,0.022128713,267.3267327,5.04950495,477.7227723,8.762376238,1.232673267,1.170792079,1.25990099,0.683168317,2.673267327,2.797029703,4.95049505,5.594059406,1.804455446,0.653465347,2.378712871,2.056930693,3.143564356,3.638613861,1.5223
82,"Potatoes, no skin",Grain A,81.1,380.9524,9.5767,1.3757,4.709,80.5291,4.127,37.037,1.9577,117.9894,301.5873,2359.7884,10.582,1.9577,0.6878,0,0.0013,0.2698,0.0,8.3598,0.0,0.7672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,Eggshells ,Mineral Group A,0.0,0.0,3.931795386,0.351053159,94.89468405,0.0,0.0,34222.668,22.066,290.873,401.204,300.903,501.505,1.003,1.003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Calcium carbonate,Mineral Group A,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Bone meal ,Mineral Group B,0.0,0.0,0.0,0.0,100.0,0.0,0.0,30000.0,0.0,286.0,12000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Dry blood meal ,Mineral Group B,0.0,328.694,93.897,2.034,3.319,0.0,0.0,331.906,220.557,214.133,224.839,385.439,386.51,2.463,1.178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3474
87,"Sweet potatoes, with  skin",Grain A,77.3,378.8546256,6.916299559,0.220264317,4.36123348,75.33039648,13.21585903,132.1585903,2.68722467,110.1321586,207.0484581,1484.581498,242.2907489,1.321585903,0.665198238,0,0.002643172,0.343612335,0.268722467,2.453744493,3.524229075,0.920704846,0.04845815,54.18502203,0.0,62555.06608,1.145374449,0.0,0.057268722,0.004405286,0.0,0.0,0.136563877,0.365638767,0.242290749,0.405286344,0.290748899,0.127753304,0.0969163,0.392070485,0.149779736,0.378854626,0.242290749,
88,Canola Oil,Oil,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,19.0,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,Yogurt,Fruit,85.3,523.8095238,25.98639456,30.47619048,5.782312925,37.89115646,0.0,863.9455782,0.680272109,77.55102041,687.0748299,1115.646259,285.7142857,2.925170068,0.020408163,0,1.5e-05,0.37414966,1.653061224,0.918367347,0.510204082,0.306122449,4.7619e-05,103.4013605,2.52e-06,768.707483,0.408163265,211.5646259,0.557823129,0.183673469,0.0,0.0,0.136054422,0.965986395,1.285714286,2.380952381,2.115646259,0.693877551,0.217687075,1.285714286,1.19047619,1.952380952,0.707482993,
90,Buckwheat,Grain A,9.75,380.0554,14.626,3.7673,2.3269,68.144,11.0803,19.9446,2.4377,255.9557,384.4875,509.6953,1.108,2.6593,1.2188,0,0.0092,0.1119,0.4709,7.7784,1.3629,0.2327,0.0332,0.0,0.0,0.0,0.0,0.0,1.0648,0.0864,0.0,0.0,0.2127,0.5607,0.5518,0.9219,0.7446,0.1906,0.2537,0.5762,0.267,0.7512,1.0881,
91,Lard (pork fat),Oil,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,10.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,Beef tallow (fat),Oil,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,28.0,3.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
